index,time,event
0,3.930111978,1
1,3.930111978,1
2,3.930111978,1
3,3.930111978,1
4,6.957818347,1
5,6.957818347,1
6,6.957818347,1
7,11.6298491,1
8,11.6298491,1
9,11.6298491,1
10,11.6298491,1
11,14.87613708,1
12,14.87613708,1
13,14.87613708,1
14,14.87613708,1
15,14.87613708,1
16,14.87613708,1
17,17.78039204,1
18,17.78039204,1
19,17.78039204,1
20,20.59677864,1
21,21.68145663,1
22,21.68145663,1
23,21.68145663,1
24,21.68145663,1
25,21.68145663,1
26,31.36125756,1
27,33.31929376,1
28,37.24165977,1
29,37.24165977,1
