location[0],location[1],source,removal_time
53,50,tc,0
45,49,tc,0
50,48,tc,0
43,57,tc,0
47,60,tc,0
57,53,tc,0
59,53,tc,0
56,53,tc,0
43,60,tc,0
42,54,tc,0
58,53,tc,0
54,43,tc,15
55,44,tc,0
45,53,M,0
63,51,tc,0
47,41,tc,0
61,50,tc,0
46,64,tc,0
47,65,tc,15.5
53,40,M,10.5
58,54,M,0
59,44,tc,12
48,40,M,6
58,43,tc,13
42,64,M,0.5
61,45,tc,3
38,62,tc,0
46,42,tc,0
40,62,tc,5.5
57,43,tc,0
46,41,tc,0
47,64,tc,0
40,50,tc,0
43,44,tc,0
46,45,M,0
63,50,tc,0
52,39,tc,8.5
40,43,tc,0
50,63,tc,0
39,55,tc,0
43,67,M,20
42,51,M,0
50,39,M,0
37,63,tc,0
44,35,tc,0
41,34,tc,17
49,36,tc,0
63,45,tc,11
43,62,tc,0
39,54,tc,0
56,46,M,0
50,38,tc,0
58,48,M,0
41,50,tc,0
47,40,tc,0
42,39,tc,8
60,42,M,18
44,33,tc,0
46,65,tc,8.5
38,50,tc,0
46,36,tc,0
52,38,M,8.5
41,42,M,0
63,52,tc,0
60,44,tc,0
59,54,tc,0
37,57,tc,0
54,45,M,0
37,47,tc,13.5
61,47,tc,3
46,33,tc,0
33,44,tc,22.5
59,55,M,0
59,52,tc,0
54,42,tc,7
50,36,M,0
43,45,tc,0
43,66,tc,0
46,37,M,0
45,64,M,0
39,62,tc,0
48,35,tc,0
49,45,M,0
48,41,tc,0
42,63,M,0
42,60,M,0
37,50,tc,0
44,44,M,0
41,33,tc,0
46,31,tc,0
58,58,tc,5.5
61,58,tc,6
59,56,tc,0
33,43,tc,14
70,47,tc,11
67,45,tc,0
29,64,tc,0
61,44,tc,0
47,30,tc,3.5
49,60,tc,0
39,56,M,0
69,47,tc,0
50,51,tc,0
42,37,tc,8
50,69,tc,0
46,61,tc,0
47,32,tc,0
42,36,tc,0
66,51,M,0
51,57,tc,3
61,54,tc,0
68,54,tc,0
58,42,tc,5
60,48,M,0
70,48,M,0
52,37,tc,18
57,42,tc,9.5
48,69,M,0
45,37,M,0
53,70,tc,12.5
41,35,tc,18.5
50,50,tc,0
48,71,tc,0
36,52,tc,0
69,55,tc,0
52,69,tc,0
53,69,tc,0
72,47,M,10
37,49,tc,0
58,41,tc,0
37,61,M,0
64,44,tc,1.5
38,59,M,0
66,57,tc,0
69,53,M,0
30,39,tc,0
32,38,tc,0
41,30,tc,0
38,61,tc,0
49,73,tc,0
37,67,tc,8
63,53,tc,0
66,45,tc,0
54,63,tc,0
36,60,M,2.5
29,63,tc,0
36,68,tc,16
50,57,tc,0
39,68,tc,0
51,69,tc,0
36,45,tc,0
36,62,tc,13.5
49,72,tc,0
51,72,M,0
50,30,tc,12
39,64,tc,0
41,36,tc,18.5
39,51,tc,0
51,46,M,0
51,67,tc,0
40,67,tc,0
30,63,tc,9.5
37,46,tc,0
46,30,tc,0
54,40,tc,6.5
47,63,tc,0
45,30,tc,0
59,42,tc,0
49,32,tc,0
40,68,tc,0
51,32,M,18.5
69,49,tc,0
34,44,tc,11
48,75,tc,23.5
48,74,tc,0
30,38,tc,0
67,47,tc,0
49,74,tc,0
49,54,tc,0
69,57,tc,14.5
38,30,tc,0
44,61,tc,0
68,58,tc,11.5
28,66,tc,11.5
54,64,tc,4
65,63,tc,0
52,57,tc,22
51,36,tc,0
59,64,M,12.5
33,51,M,0
44,68,M,17
47,53,tc,0
37,68,tc,0
68,55,M,0
41,67,tc,0
51,44,M,0
55,66,M,22
49,75,tc,0
52,40,tc,0
66,58,tc,0
56,55,tc,4
37,69,tc,6
46,47,tc,0
34,47,tc,18.5
46,75,tc,12.5
72,49,tc,0
31,37,tc,0
34,45,tc,1.5
31,39,tc,0
88,84,M,21
35,71,M,7
43,70,tc,0
58,59,tc,1
26,71,M,16
52,52,tc,1.5
55,35,M,3.5
57,38,M,1.5
5,22,M,7.5
